Date,Day of the Week,Amount,Description,Category ,Method of Payment
1/23,Monday,10.71,Chick Fil A Sandwhich Meal,Food,Debit
1/23,Monday,11.03,Noodles and Teryaki,Food,Debit
1/24,Tuesday,4.99,Game Purchase,Entertainment and Recreation,Debit
1/24,Tuesday,4.05,Berverage,Food,Debit
1/25,Wednesday,12.71,Snacks,Food,Debit
1/25,Wednesday,270,Mini Bills,Bills,Debit
1/27,Friday,9.99,Apple Storage,Bills,Debit
1/27,Friday,9.99,Game Purchase,Entertainment and Recreation,Debit
1/27,Friday,8.23,Popeyes,Food,Debit
1/27,Friday,12.75,Uber,Travel,Debit
1/28,Saturday,93.05,IHOP,Food,Debit
1/28,Saturday,32.11,Target ,Entertainment and Recreation,Debit
1/29,Sunday,8.23,Popeyes,Food,Debit
1/30,Monday,10.6,Starbucks,Food,Debit
1/30,Monday,11.71,Uber,Travel,Debit
1/30,Monday,4.21,In N Out,Food,Debit
1/30,Monday,32.11,Target ,Housing,Debit
1/30,Monday,49,Amazon,Online Purchase,Debit
2/1,Wednesday,5,Starbucks,Food,Debit
2/1,Wednesday,10.37,Wingstop,Food,Debit
2/1,Thursday,6.25,Starbucks,Food,Debit
2/3,Friday,7.69,Ebay,Entertainment and Recreation,Debit
2/3,Friday,9.49,Snacks,Food,Cash
2/4,Saturday,27.16,Chick Fil A Sandwhich Meal,Food,Cash
2/4,Saturday,40,Zelle Transfer,Financial goals and Savings,Debit
2/4,Saturday,12.07,Uber,Travel,Debit
,Saturday,10.03,Starbucks,Food,Cash
